"Date","Month","Year","Site.Name","COUNTY","meanlatitude","meanlongitude","PM2.5","Ozone"
1-10-20,10,1,"Leggett","Edgecombe",35.988278,-77.5843,21.5,NA
1-10-20,10,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,17.5,NA
1-10-20,10,1,"Millbrook School","Wake",35.856111,-78.574167,27.6666666666667,30
1-10-20,10,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,26,NA
1-10-20,10,1,"West Johnston Co.","Johnston",35.59095,-78.4622,26.5,27
1-11-20,11,1,"Bryson City","Swain",35.434767,-83.442133,28,NA
1-11-20,11,1,"Castle Hayne","New Hanover",34.364167,-77.838611,14,NA
1-11-20,11,1,"Clemmons Middle","Forsyth",36.026,-80.342,47.5,NA
1-11-20,11,1,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
1-11-20,11,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,0,51
1-11-20,11,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,27.5
1-11-20,11,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,43.3333333333333,NA
1-11-20,11,1,"Leggett","Edgecombe",35.988278,-77.5843,22.5,NA
1-11-20,11,1,"Linville Falls","Avery",35.972347,-81.933072,3,NA
1-11-20,11,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
1-11-20,11,1,"Millbrook School","Wake",35.856111,-78.574167,31.25,27
1-11-20,11,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24.6666666666667,NA
1-11-20,11,1,"West Johnston Co.","Johnston",35.59095,-78.4622,38.5,29
1-12-20,12,1,"Bryson City","Swain",35.434767,-83.442133,28.5,NA
1-12-20,12,1,"Castle Hayne","New Hanover",34.364167,-77.838611,9,NA
1-12-20,12,1,"Clemmons Middle","Forsyth",36.026,-80.342,40,NA
1-12-20,12,1,"Durham Armory","Durham",36.0329550008979,-78.904037,31.3333333333333,NA
1-12-20,12,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,13,37
1-12-20,12,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,36.75,30
1-12-20,12,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,42,NA
1-12-20,12,1,"Leggett","Edgecombe",35.988278,-77.5843,12.5,NA
1-12-20,12,1,"Linville Falls","Avery",35.972347,-81.933072,26,NA
1-12-20,12,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27.5,NA
1-12-20,12,1,"Millbrook School","Wake",35.856111,-78.574167,33,32
1-12-20,12,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18.3333333333333,NA
1-12-20,12,1,"West Johnston Co.","Johnston",35.59095,-78.4622,24,30
2-01-20,1,2,"Bryson City","Swain",35.434767,-83.442133,56,NA
2-01-20,1,2,"Castle Hayne","New Hanover",34.364167,-77.838611,14,NA
2-01-20,1,2,"Clemmons Middle","Forsyth",36.026,-80.342,55,NA
2-01-20,1,2,"Durham Armory","Durham",36.0329550008979,-78.904037,41,34
2-01-20,1,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,12,44
2-01-20,1,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,38.5,36
2-01-20,1,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,42.5,NA
2-01-20,1,2,"Leggett","Edgecombe",35.988278,-77.5843,24,38
2-01-20,1,2,"Linville Falls","Avery",35.972347,-81.933072,24,NA
2-01-20,1,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,45,NA
2-01-20,1,2,"Millbrook School","Wake",35.856111,-78.574167,38.25,37.5
2-01-20,1,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24,NA
2-01-20,1,2,"West Johnston Co.","Johnston",35.59095,-78.4622,38.5,40
2-02-20,2,2,"Bryson City","Swain",35.434767,-83.442133,30,NA
2-02-20,2,2,"Castle Hayne","New Hanover",34.364167,-77.838611,20,NA
2-02-20,2,2,"Clemmons Middle","Forsyth",36.026,-80.342,38,NA
2-02-20,2,2,"Durham Armory","Durham",36.0329550008979,-78.904037,42.6666666666667,26
2-02-20,2,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,9,47
2-02-20,2,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,44,38
2-02-20,2,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,41.3333333333333,NA
2-02-20,2,2,"Leggett","Edgecombe",35.988278,-77.5843,26,30
2-02-20,2,2,"Linville Falls","Avery",35.972347,-81.933072,14,NA
2-02-20,2,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,32.5,NA
2-02-20,2,2,"Millbrook School","Wake",35.856111,-78.574167,52.25,31.5
2-02-20,2,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,40.5,NA
2-02-20,2,2,"West Johnston Co.","Johnston",35.59095,-78.4622,35,34
2-03-20,3,2,"Bryson City","Swain",35.434767,-83.442133,40,NA
2-03-20,3,2,"Castle Hayne","New Hanover",34.364167,-77.838611,8,NA
2-03-20,3,2,"Clemmons Middle","Forsyth",36.026,-80.342,57.5,NA
2-03-20,3,2,"Durham Armory","Durham",36.0329550008979,-78.904037,48.5,19
2-03-20,3,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,46
2-03-20,3,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,46.6666666666667,37.5
2-03-20,3,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,44.5,NA
2-03-20,3,2,"Leggett","Edgecombe",35.988278,-77.5843,24.5,32
2-03-20,3,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,46.5,NA
2-03-20,3,2,"Millbrook School","Wake",35.856111,-78.574167,55.6666666666667,31.5
2-03-20,3,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,35,NA
2-03-20,3,2,"West Johnston Co.","Johnston",35.59095,-78.4622,39.5,38
2-04-20,4,2,"Bryson City","Swain",35.434767,-83.442133,45.5,NA
2-04-20,4,2,"Castle Hayne","New Hanover",34.364167,-77.838611,12,NA
2-04-20,4,2,"Clemmons Middle","Forsyth",36.026,-80.342,50,NA
2-04-20,4,2,"Durham Armory","Durham",36.0329550008979,-78.904037,39.3333333333333,39
2-04-20,4,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,44
2-04-20,4,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,46.75,30
2-04-20,4,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,39.5,NA
2-04-20,4,2,"Leggett","Edgecombe",35.988278,-77.5843,28,43
2-04-20,4,2,"Linville Falls","Avery",35.972347,-81.933072,5,NA
2-04-20,4,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,41.5,NA
2-04-20,4,2,"Millbrook School","Wake",35.856111,-78.574167,40.75,37
2-04-20,4,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,17,NA
2-04-20,4,2,"West Johnston Co.","Johnston",35.59095,-78.4622,29,43
2-05-20,5,2,"Bryson City","Swain",35.434767,-83.442133,40.5,NA
2-05-20,5,2,"Castle Hayne","New Hanover",34.364167,-77.838611,26.5,NA
2-05-20,5,2,"Clemmons Middle","Forsyth",36.026,-80.342,38,NA
2-05-20,5,2,"Durham Armory","Durham",36.0329550008979,-78.904037,42,31
2-05-20,5,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,17,37
2-05-20,5,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,37.25,31.5
2-05-20,5,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,33.3333333333333,NA
2-05-20,5,2,"Leggett","Edgecombe",35.988278,-77.5843,20,37
2-05-20,5,2,"Linville Falls","Avery",35.972347,-81.933072,20,NA
2-05-20,5,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,34,NA
2-05-20,5,2,"Millbrook School","Wake",35.856111,-78.574167,47,31.5
2-05-20,5,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,32,NA
2-05-20,5,2,"West Johnston Co.","Johnston",35.59095,-78.4622,32,38
2-06-20,6,2,"Bryson City","Swain",35.434767,-83.442133,60.5,NA
2-06-20,6,2,"Castle Hayne","New Hanover",34.364167,-77.838611,28.5,NA
2-06-20,6,2,"Clemmons Middle","Forsyth",36.026,-80.342,37.5,NA
2-06-20,6,2,"Durham Armory","Durham",36.0329550008979,-78.904037,51,33
2-06-20,6,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,36
2-06-20,6,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40.6666666666667,22.5
2-06-20,6,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,37,NA
2-06-20,6,2,"Leggett","Edgecombe",35.988278,-77.5843,36,39
2-06-20,6,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,38,NA
2-06-20,6,2,"Millbrook School","Wake",35.856111,-78.574167,54.3333333333333,33.5
2-06-20,6,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,45,NA
2-06-20,6,2,"West Johnston Co.","Johnston",35.59095,-78.4622,44.5,37
2-07-20,7,2,"Bryson City","Swain",35.434767,-83.442133,31,NA
2-07-20,7,2,"Castle Hayne","New Hanover",34.364167,-77.838611,16.5,NA
2-07-20,7,2,"Clemmons Middle","Forsyth",36.026,-80.342,24,NA
2-07-20,7,2,"Durham Armory","Durham",36.0329550008979,-78.904037,35,30
2-07-20,7,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,34
2-07-20,7,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28.25,28
2-07-20,7,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,25.6666666666667,NA
2-07-20,7,2,"Leggett","Edgecombe",35.988278,-77.5843,32,31
2-07-20,7,2,"Linville Falls","Avery",35.972347,-81.933072,9,NA
2-07-20,7,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,28.5,NA
2-07-20,7,2,"Millbrook School","Wake",35.856111,-78.574167,41,31.5
2-07-20,7,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,33.5,NA
2-07-20,7,2,"West Johnston Co.","Johnston",35.59095,-78.4622,42.5,NA
2-08-20,8,2,"Bryson City","Swain",35.434767,-83.442133,22.5,NA
2-08-20,8,2,"Castle Hayne","New Hanover",34.364167,-77.838611,16.5,39
2-08-20,8,2,"Clemmons Middle","Forsyth",36.026,-80.342,22,NA
2-08-20,8,2,"Durham Armory","Durham",36.0329550008979,-78.904037,40.3333333333333,39
2-08-20,8,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,44
2-08-20,8,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33.75,34
2-08-20,8,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,26.75,NA
2-08-20,8,2,"Leggett","Edgecombe",35.988278,-77.5843,31.5,40
2-08-20,8,2,"Linville Falls","Avery",35.972347,-81.933072,8,NA
2-08-20,8,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,25.5,NA
2-08-20,8,2,"Millbrook School","Wake",35.856111,-78.574167,42.75,34
2-08-20,8,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31.5,NA
2-08-20,8,2,"West Johnston Co.","Johnston",35.59095,-78.4622,30,NA
2-09-20,9,2,"Bryson City","Swain",35.434767,-83.442133,29,NA
2-09-20,9,2,"Castle Hayne","New Hanover",34.364167,-77.838611,13,36
2-09-20,9,2,"Clemmons Middle","Forsyth",36.026,-80.342,32.5,NA
2-09-20,9,2,"Durham Armory","Durham",36.0329550008979,-78.904037,41.5,35
2-09-20,9,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,46
2-09-20,9,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,23.3333333333333,36
2-09-20,9,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,35,NA
2-09-20,9,2,"Leggett","Edgecombe",35.988278,-77.5843,17.5,34
2-09-20,9,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,37,NA
2-09-20,9,2,"Millbrook School","Wake",35.856111,-78.574167,35,36
2-09-20,9,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,10,NA
2-09-20,9,2,"West Johnston Co.","Johnston",35.59095,-78.4622,31,NA
2-10-20,10,2,"Bryson City","Swain",35.434767,-83.442133,36.5,NA
2-10-20,10,2,"Castle Hayne","New Hanover",34.364167,-77.838611,6.5,38
2-10-20,10,2,"Clemmons Middle","Forsyth",36.026,-80.342,36.5,NA
2-10-20,10,2,"Durham Armory","Durham",36.0329550008979,-78.904037,40,32
2-10-20,10,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,44
2-10-20,10,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,37.5,24
2-10-20,10,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,47.3333333333333,NA
2-10-20,10,2,"Leggett","Edgecombe",35.988278,-77.5843,20.5,34
